# frequency radius F_z
10000 0.001 1.64424147125474e-19
10000 0.00112752 3.37912152819260e-19
10000 0.00125503 6.42850326547316e-19
10000 0.00138255 1.14917885510401e-18
10000 0.00151007 1.95171069656583e-18
10000 0.00163758 3.17546451745021e-18
10000 0.0017651 4.98152942463308e-18
10000 0.00189262 7.57346595553552e-18
10000 0.00202013 1.12042481835115e-17
10000 0.00214765 1.61837521819488e-17
10000 0.00227517 2.28867964850792e-17
10000 0.00240268 3.17617405688911e-17
10000 0.0025302 4.33396477635440e-17
10000 0.00265772 5.82440193924570e-17
10000 0.00278523 7.72011073151861e-17
10000 0.00291275 1.01050812436143e-16
10000 0.00304027 1.30758177103978e-16
10000 0.00316779 1.67425479715078e-16
10000 0.0032953 2.12304940193209e-16
10000 0.00342282 2.66812045372617e-16
10000 0.00355034 3.32539503689260e-16
10000 0.00367785 4.11271838903266e-16
10000 0.00380537 5.05000632952109e-16
10000 0.00393289 6.15940428328809e-16
10000 0.0040604 7.46545300739391e-16
10000 0.00418792 8.99526113061984e-16
10000 0.00431544 1.07786846197085e-15
10000 0.00444295 1.28485132883766e-15
10000 0.00457047 1.52406644680329e-15
10000 0.00469799 1.79943839616557e-15
10000 0.0048255 2.11524544044554e-15
10000 0.00495302 2.47614111572159e-15
10000 0.00508054 2.88717658597268e-15
10000 0.00520805 3.35382377736751e-15
10000 0.00533557 3.88199930453692e-15
10000 0.00546309 4.47808920195704e-15
10000 0.0055906 5.14897447367180e-15
10000 0.00571812 5.90205747455269e-15
10000 0.00584564 6.74528913630604e-15
10000 0.00597315 7.68719705138339e-15
10000 0.00610067 8.73691442779831e-15
10000 0.00622819 9.90420992772850e-15
10000 0.0063557 1.11995184025265e-14
10000 0.00648322 1.26339725364879e-14
10000 0.00661074 1.42194354113781e-14
10000 0.00673826 1.59685340032610e-14
10000 0.00686577 1.78946936227353e-14
10000 0.00699329 2.00121733089680e-14
10000 0.00712081 2.23361021874028e-14
10000 0.00724832 2.48825168000537e-14
10000 0.00737584 2.76683994166060e-14
10000 0.00750336 3.07117173333594e-14
10000 0.00763087 3.40314631660737e-14
10000 0.00775839 3.76476961414915e-14
10000 0.00788591 4.15815843908717e-14
10000 0.00801342 4.58554482474379e-14
10000 0.00814094 5.04928045479248e-14
10000 0.00826846 5.55184119365054e-14
10000 0.00839597 6.09583171674592e-14
10000 0.00852349 6.68399024006676e-14
10000 0.00865101 7.31919334816224e-14
10000 0.00877852 8.00446091950606e-14
10000 0.00890604 8.74296114784833e-14
10000 0.00903356 9.53801565787100e-14
10000 0.00916107 1.03931047131415e-13
10000 0.00928859 1.13118725139907e-13
10000 0.00941611 1.22981325825700e-13
10000 0.00954362 1.33558732319133e-13
10000 0.00967114 1.44892631154104e-13
10000 0.00979866 1.57026568526038e-13
10000 0.00992617 1.70006007267258e-13
10000 0.0100537 1.83878384488559e-13
10000 0.0101812 1.98693169829955e-13
10000 0.0103087 2.14501924257480e-13
10000 0.0104362 2.31358359336484e-13
10000 0.0105638 2.49318396904874e-13
10000 0.0106913 2.68440229062542e-13
10000 0.0108188 2.88784378385434e-13
10000 0.0109463 3.10413758264614e-13
10000 0.0110738 3.33393733262058e-13
10000 0.0112013 3.57792179365868e-13
10000 0.0113289 3.83679544018159e-13
10000 0.0114564 4.11128905778772e-13
10000 0.0115839 4.40216033477697e-13
10000 0.0117114 4.71019444698016e-13
10000 0.0118389 5.03620463419962e-13
10000 0.0119664 5.38103276644615e-13
10000 0.012094 5.74554989803688e-13
10000 0.0122215 6.13065680748847e-13
10000 0.012349 6.53728452100879e-13
10000 0.0124765 6.96639481725422e-13
10000 0.012604 7.41898071087691e-13
10000 0.0127315 7.89606691224377e-13
10000 0.0128591 8.39871026056045e-13
10000 0.0129866 8.92800012747975e-13
10000 0.0131141 9.48505878812341e-13
10000 0.0132416 1.00710417562874e-12
10000 0.0133691 1.06871380804411e-12
10000 0.0134966 1.13345705969768e-12
10000 0.0136242 1.20145961369986e-12
10000 0.0137517 1.27285056827870e-12
10000 0.0138792 1.34776244699136e-12
10000 0.0140067 1.42633120308265e-12
10000 0.0141342 1.50869621755728e-12
10000 0.0142617 1.59500029051783e-12
10000 0.0143893 1.68538962530625e-12
10000 0.0145168 1.78001380497316e-12
10000 0.0146443 1.87902576058667e-12
10000 0.0147718 1.98258173088103e-12
10000 0.0148993 2.09084121273503e-12
10000 0.0150268 2.20396690196114e-12
10000 0.0151544 2.32212462387929e-12
10000 0.0152819 2.44548325314363e-12
10000 0.0154094 2.57421462228732e-12
10000 0.0155369 2.70849341844923e-12
10000 0.0156644 2.84849706774784e-12
10000 0.0157919 2.99440560677211e-12
10000 0.0159195 3.14640154066581e-12
10000 0.016047 3.30466968729295e-12
10000 0.0161745 3.46939700698552e-12
10000 0.016302 3.64077241739317e-12
10000 0.0164295 3.81898659297576e-12
10000 0.016557 4.00423174870740e-12
10000 0.0166846 4.19670140758976e-12
10000 0.0168121 4.39659015161046e-12
10000 0.0169396 4.60409335582143e-12
10000 0.0170671 4.81940690525984e-12
10000 0.0171946 5.04272689448530e-12
10000 0.0173221 5.27424930956510e-12
10000 0.0174497 5.51416969240220e-12
10000 0.0175772 5.76268278737050e-12
10000 0.0177047 6.01998217029725e-12
10000 0.0178322 6.28625985991351e-12
10000 0.0179597 6.56170591198183e-12
10000 0.0180872 6.84650799640288e-12
10000 0.0182148 7.14085095770272e-12
10000 0.0183423 7.44491635940671e-12
10000 0.0184698 7.75888201291637e-12
10000 0.0185973 8.08292149162050e-12
10000 0.0187248 8.41720363109143e-12
10000 0.0188523 8.76189201634060e-12
10000 0.0189799 9.11714445723480e-12
10000 0.0191074 9.48311245330399e-12
10000 0.0192349 9.85994064930237e-12
10000 0.0193624 1.02477662830178e-11
10000 0.0194899 1.06467186269564e-11
10000 0.0196174 1.10569184256604e-11
10000 0.019745 1.14784773305481e-11
10000 0.0198725 1.19114973342883e-11
10000 0.02 1.23560702068454e-11

11275.2 0.001 2.65801718545912e-19
11275.2 0.00112752 5.46289847415880e-19
11275.2 0.00125503 1.03934457492652e-18
11275.2 0.00138255 1.85810779943341e-18
11275.2 0.00151007 3.15598942644362e-18
11275.2 0.00163758 5.13531860568153e-18
