# x y Fx[N] Fy[N] Fz[N]
-0.03 -0.03 -8.78949e-18 3.95871e-17 9.30633e-17
-0.03 -0.0257143 -1.71877e-17 7.008e-17 2.62045e-16
-0.03 -0.0214286 -2.24809e-16 2.96544e-17 1.35329e-16
-0.03 -0.0171429 -2.36207e-16 2.09509e-17 -1.6702e-16
-0.03 -0.0128571 4.38833e-16 2.18063e-16 -3.35543e-17
-0.03 -0.00857143 1.16403e-15 4.19653e-16 4.59258e-16
-0.03 -0.00428571 1.33844e-15 3.31141e-16 7.87362e-16
-0.03 3.46945e-18 1.29726e-15 4.80292e-24 8.63411e-16
-0.03 0.00428571 1.33844e-15 -3.31141e-16 7.87362e-16
-0.03 0.00857143 1.16403e-15 -4.19653e-16 4.59258e-16
-0.03 0.0128571 4.38833e-16 -2.18063e-16 -3.35543e-17
-0.03 0.0171429 -2.36207e-16 -2.09509e-17 -1.6702e-16
-0.03 0.0214286 -2.24809e-16 -2.96544e-17 1.35329e-16
-0.03 0.0257143 -1.71877e-17 -7.008e-17 2.62045e-16
-0.03 0.03 -8.7895e-18 -3.95871e-17 9.30633e-17

-0.0257143 -0.03 -8.47117e-17 -1.03965e-17 2.53886e-17
-0.0257143 -0.0257143 -1.22112e-16 1.01531e-16 2.44817e-18
-0.0257143 -0.0214286 -4.16725e-17 1.30443e-16 1.16736e-16
-0.0257143 -0.0171429 1.21947e-16 1.08836e-16 3.03417e-16
-0.0257143 -0.0128571 4.28751e-17 1.67048e-16 2.23714e-17
-0.0257143 -0.00857143 -1.27544e-16 3.07813e-16 -5.11966e-16
-0.0257143 -0.00428571 1.74512e-16 3.36382e-16 -4.92656e-16
-0.0257143 3.46945e-18 4.81643e-16 3.14475e-24 -2.84768e-16
-0.0257143 0.00428571 1.74512e-16 -3.36382e-16 -4.92656e-16
-0.0257143 0.00857143 -1.27544e-16 -3.07813e-16 -5.11966e-16
-0.0257143 0.0128571 4.28751e-17 -1.67048e-16 2.23714e-17
-0.0257143 0.0171429 1.21947e-16 -1.08836e-16 3.03417e-16
-0.0257143 0.0214286 -4.16725e-17 -1.30443e-16 1.16736e-16
-0.0257143 0.0257143 -1.22112e-16 -1.01531e-16 2.44817e-18
-0.0257143 0.03 -8.47117e-17 1.03965e-17 2.53886e-17

-0.0214286 -0.03 5.17513e-17 7.75108e-17 6.99974e-17
-0.0214286 -0.0257143 -5.65056e-17 6.04413e-17 2.34407e-16
-0.0214286 -0.0214286 -3.08376e-16 1.88179e-18 1.25638e-16
-0.0214286 -0.0171429 -7.54067e-17 1.94826e-16 -2.02737e-16
-0.0214286 -0.0128571 5.4035e-16 6.2306e-16 1.51737e-16
-0.0214286 -0.00857143 8.17283e-16 1.14575e-15 1.22816e-15
-0.0214286 -0.00428571 7.8501e-16 1.16159e-15 1.61988e-15
-0.0214286 3.46945e-18 7.54329e-16 1.60604e-23 1.43154e-15
-0.0214286 0.00428571 7.8501e-16 -1.16159e-15 1.61988e-15
-0.0214286 0.00857143 8.17283e-16 -1.14575e-15 1.22816e-15
-0.0214286 0.0128571 5.4035e-16 -6.2306e-16 1.51737e-16
-0.0214286 0.0171429 -7.54067e-17 -1.94826e-16 -2.02737e-16
-0.0214286 0.0214286 -3.08376e-16 -1.88179e-18 1.25638e-16
-0.0214286 0.0257143 -5.65056e-17 -6.04413e-17 2.34407e-16
-0.0214286 0.03 5.17513e-17 -7.75108e-17 6.99974e-17

-0.0171429 -0.03 6.66459e-18 -2.76229e-17 9.06264e-17
-0.0171429 -0.0257143 -9.23131e-17 2.50919e-17 1.51301e-17
-0.0171429 -0.0214286 1.46876e-16 5.57842e-17 1.53919e-16
-0.0171429 -0.0171429 2.72965e-16 1.60489e-17 4.57358e-16
-0.0171429 -0.0128571 -4.66366e-16 9.6975e-17 2.32726e-16
-0.0171429 -0.00857143 -8.3464e-17 8.12197e-16 6.65232e-17
-0.0171429 -0.00428571 2.99445e-15 1.24579e-15 9.87333e-16
-0.0171429 3.46945e-18 5.09039e-15 8.29454e-24 1.74004e-15
-0.0171429 0.00428571 2.99445e-15 -1.24579e-15 9.87333e-16
-0.0171429 0.00857143 -8.3464e-17 -8.12197e-16 6.65232e-17
-0.0171429 0.0128571 -4.66366e-16 -9.6975e-17 2.32726e-16
-0.0171429 0.0171429 2.72965e-16 -1.60489e-17 4.57358e-16
-0.0171429 0.0214286 1.46876e-16 -5.57842e-17 1.53919e-16
-0.0171429 0.0257143 -9.23131e-17 -2.50919e-17 1.51301e-17
-0.0171429 0.03 6.66459e-18 2.76229e-17 9.06264e-17

-0.0128571 -0.03 -5.5778e-17 3.21978e-17 5.75957e-17
-0.0128571 -0.0257143 -8.22647e-17 7.49577e-17 2.54037e-16
-0.0128571 -0.0214286 -8.07828e-17 7.23465e-17 2.6373e-16
-0.0128571 -0.0171429 -1.26122e-16 1.1077e-16 -3.73152e-17
-0.0128571 -0.0128571 4.72058e-16 1.35991e-15 9.18836e-16
-0.0128571 -0.00857143 2.32315e-15 4.45035e-15 4.19869e-15
-0.0128571 -0.00428571 4.08728e-15 5.1718e-15 7.53078e-15
-0.0128571 3.46945e-18 4.63638e-15 5.24104e-23 8.71036e-15
-0.0128571 0.00428571 4.08728e-15 -5.1718e-15 7.53078e-15
-0.0128571 0.00857143 2.32315e-15 -4.45035e-15 4.19869e-15
-0.0128571 0.0128571 4.72058e-16 -1.35991e-15 9.18836e-16
-0.0128571 0.0171429 -1.26122e-16 -1.1077e-16 -3.73152e-17
-0.0128571 0.0214286 -8.07828e-17 -7.23465e-17 2.6373e-16
