# x z Fx[N] Fy[N] Fz[N]
-0.03 -0.03 1.47614e-15 5.7611e-25 1.55285e-15
-0.03 -0.0257143 1.72776e-15 8.33141e-25 1.18354e-15
-0.03 -0.0214286 2.17836e-15 -2.55248e-25 8.83433e-16
-0.03 -0.0171429 3.07129e-15 4.73815e-25 2.21781e-15
-0.03 -0.0128571 4.82932e-15 1.94188e-24 2.19666e-15
-0.03 -0.00857143 4.20882e-15 1.4323e-24 4.01277e-16
-0.03 -0.00428571 2.32716e-15 1.17241e-24 -1.95013e-16
-0.03 3.46945e-18 1.29726e-15 4.80292e-24 8.63411e-16
-0.03 0.00428571 4.01765e-16 1.26798e-23 2.15681e-15
-0.03 0.00857143 -9.78175e-16 2.22401e-23 2.86504e-15
-0.03 0.0128571 -2.41233e-15 2.98341e-23 2.93482e-15
-0.03 0.0171429 -3.28866e-15 3.25426e-23 2.53019e-15
-0.03 0.0214286 -3.36422e-15 2.96377e-23 1.86121e-15
-0.03 0.0257143 -2.80854e-15 2.26941e-23 1.186e-15
-0.03 0.03 -1.97325e-15 1.44545e-23 7.14653e-16

-0.0257143 -0.03 1.26815e-15 -2.17621e-25 1.80653e-15
-0.0257143 -0.0257143 2.03989e-15 -8.96684e-25 1.9779e-15
-0.0257143 -0.0214286 3.17613e-15 8.06476e-25 3.04272e-15
-0.0257143 -0.0171429 3.66829e-15 1.25175e-24 3.02888e-15
-0.0257143 -0.0128571 5.25897e-15 2.24381e-25 1.36668e-15
-0.0257143 -0.00857143 5.34855e-15 2.23408e-25 -2.00242e-16
-0.0257143 -0.00428571 2.91764e-15 7.14702e-25 -5.82207e-16
-0.0257143 3.46945e-18 4.81643e-16 3.14475e-24 -2.84768e-16
-0.0257143 0.00428571 -1.6105e-15 1.08784e-23 5.17164e-16
-0.0257143 0.00857143 -3.54832e-15 2.24834e-23 1.77774e-15
-0.0257143 0.0128571 -4.59363e-15 3.19072e-23 2.74275e-15
-0.0257143 0.0171429 -4.51471e-15 3.4285e-23 2.78412e-15
-0.0257143 0.0214286 -3.74143e-15 2.92397e-23 2.10979e-15
-0.0257143 0.0257143 -2.70576e-15 2.00103e-23 1.32934e-15
-0.0257143 0.03 -1.69775e-15 1.07573e-23 8.23392e-16

-0.0214286 -0.03 9.9558e-16 2.30493e-25 2.35797e-15
-0.0214286 -0.0257143 7.86248e-16 1.33648e-24 2.83679e-15
-0.0214286 -0.0214286 2.56157e-15 -4.54401e-26 3.82363e-15
-0.0214286 -0.0171429 5.37138e-15 -7.8533e-25 5.35241e-15
-0.0214286 -0.0128571 8.17124e-15 7.28511e-25 4.59093e-15
-0.0214286 -0.00857143 8.77801e-15 1.80264e-24 1.30053e-15
-0.0214286 -0.00428571 5.08706e-15 5.47191e-24 -4.43266e-16
-0.0214286 3.46945e-18 7.54329e-16 1.60604e-23 1.43154e-15
-0.0214286 0.00428571 -1.25489e-15 3.06312e-23 4.45964e-15
-0.0214286 0.00857143 -2.26536e-15 4.21491e-23 5.67087e-15
-0.0214286 0.0128571 -3.45168e-15 4.55401e-23 4.65395e-15
-0.0214286 0.0171429 -4.16427e-15 3.98793e-23 2.77635e-15
-0.0214286 0.0214286 -3.75451e-15 2.82483e-23 1.29235e-15
-0.0214286 0.0257143 -2.55616e-15 1.578e-23 5.73267e-16
-0.0214286 0.03 -1.34351e-15 6.5616e-24 3.91423e-16

-0.0171429 -0.03 2.99431e-16 4.2754e-25 2.03803e-15
-0.0171429 -0.0257143 6.93291e-16 -8.8942e-25 2.16678e-15
-0.0171429 -0.0214286 2.09469e-15 -1.80378e-25 4.70883e-15
-0.0171429 -0.0171429 3.18405e-15 2.0712e-24 8.34537e-15
-0.0171429 -0.0128571 6.32008e-15 2.94216e-26 6.97827e-15
-0.0171429 -0.00857143 1.16883e-14 -4.23375e-24 2.10129e-15
-0.0171429 -0.00428571 1.18525e-14 -2.76677e-24 8.93003e-17
-0.0171429 3.46945e-18 5.09039e-15 8.29454e-24 1.74004e-15
-0.0171429 0.00428571 -2.1722e-15 2.55034e-23 3.57426e-15
-0.0171429 0.00857143 -5.90026e-15 3.99307e-23 3.74526e-15
-0.0171429 0.0128571 -6.60648e-15 4.33424e-23 2.79472e-15
