# y z Fx[N] Fy[N] Fz[N]
-0.03 -0.03 2.77799e-25 3.39978e-18 -1.03877e-17
-0.03 -0.0257143 -9.06014e-25 -1.74176e-17 3.8823e-17
-0.03 -0.0214286 -9.56705e-25 1.7044e-18 5.91528e-17
-0.03 -0.0171429 -2.33571e-26 2.69268e-17 1.0841e-17
-0.03 -0.0128571 4.75436e-25 1.4398e-17 -3.70392e-17
-0.03 -0.00857143 2.2937e-25 -2.39791e-17 -3.08375e-17
-0.03 -0.00428571 -2.07305e-25 -5.70949e-17 1.20203e-17
-0.03 3.46945e-18 -4.30605e-25 -7.51907e-17 5.51854e-17
-0.03 0.00428571 -3.9035e-25 -8.52484e-17 8.27236e-17
-0.03 0.00857143 -2.01665e-25 -9.46404e-17 9.58629e-17
-0.03 0.0128571 -2.78983e-26 -1.04938e-16 1.0066e-16
-0.03 0.0171429 -2.47252e-26 -1.12853e-16 1.02577e-16
-0.03 0.0214286 -2.62064e-25 -1.13428e-16 1.04967e-16
-0.03 0.0257143 -6.61751e-25 -1.03689e-16 1.08321e-16
-0.03 0.03 -1.03055e-24 -8.48619e-17 1.10605e-16

-0.0257143 -0.03 -9.89392e-25 -8.76542e-18 4.87247e-17
-0.0257143 -0.0257143 -7.60972e-25 1.39304e-17 7.05944e-17
-0.0257143 -0.0214286 6.11843e-25 4.76387e-17 -6.28893e-18
-0.0257143 -0.0171429 3.72069e-25 3.0015e-17 -3.4411e-17
-0.0257143 -0.0128571 -1.10489e-24 -1.26221e-18 5.53435e-17
-0.0257143 -0.00857143 -2.08862e-24 1.65388e-18 1.60021e-16
-0.0257143 -0.00428571 -2.24652e-24 2.35045e-17 2.01691e-16
-0.0257143 3.46945e-18 -2.06181e-24 3.51835e-17 1.98824e-16
-0.0257143 0.00428571 -1.78743e-24 3.1543e-17 1.90339e-16
-0.0257143 0.00857143 -1.36227e-24 1.79087e-17 1.87707e-16
-0.0257143 0.0128571 -7.15007e-25 -5.04794e-18 1.84424e-16
-0.0257143 0.0171429 6.64011e-27 -3.76167e-17 1.75639e-16
-0.0257143 0.0214286 4.6699e-25 -7.28489e-17 1.6406e-16
-0.0257143 0.0257143 4.1727e-25 -9.81408e-17 1.54803e-16
-0.0257143 0.03 -7.149e-26 -1.04389e-16 1.49379e-16

-0.0214286 -0.03 -8.55587e-25 1.42155e-17 9.42698e-17
-0.0214286 -0.0257143 7.87206e-25 6.27595e-17 1.09074e-17
-0.0214286 -0.0214286 -2.49919e-25 6.04425e-17 1.11324e-17
-0.0214286 -0.0171429 -2.59063e-24 5.6457e-17 1.98637e-16
-0.0214286 -0.0128571 -2.59654e-24 1.09208e-16 2.96631e-16
-0.0214286 -0.00857143 -1.17552e-24 1.41498e-16 1.84945e-16
-0.0214286 -0.00428571 -3.72922e-25 9.5791e-17 3.56033e-17
-0.0214286 3.46945e-18 -4.42408e-25 1.46981e-17 -1.46731e-17
-0.0214286 0.00428571 -9.41273e-25 -3.88781e-17 2.64405e-17
-0.0214286 0.00857143 -1.53641e-24 -3.86517e-17 1.01567e-16
-0.0214286 0.0128571 -1.78977e-24 -3.45594e-18 1.6531e-16
-0.0214286 0.0171429 -1.30659e-24 2.25033e-17 1.97187e-16
-0.0214286 0.0214286 -2.71523e-25 1.06159e-17 2.0077e-16
-0.0214286 0.0257143 5.99466e-25 -3.01514e-17 1.91809e-16
-0.0214286 0.03 7.50014e-25 -7.02949e-17 1.82934e-16

-0.0171429 -0.03 5.23832e-25 5.61216e-17 6.43412e-17
-0.0171429 -0.0257143 -1.41101e-25 8.43963e-17 4.03833e-17
-0.0171429 -0.0214286 -2.93036e-24 9.9263e-17 3.06682e-16
-0.0171429 -0.0171429 -1.3865e-24 1.92393e-16 3.92642e-16
-0.0171429 -0.0128571 1.50141e-24 2.40956e-16 6.53814e-17
-0.0171429 -0.00857143 9.88341e-25 1.68073e-16 -1.62304e-16
